ID,Acceleration x,Acceleration y,Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,Quaternion w,Quaternion x,Quaternion y,Quaternion z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Time,Battery
10,-0.009766,0.9707,-0.2173,-0.1869,-0.1812,0.03052,0.59981,0.74722,0.22762,0.17341,0.00415,-0.004623,0.003021,-1307120858,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.02002,0.9756,-0.1685,-0.07439,-0.2117,0.1945,5.85,-34.2,-2.85,0.6077,0.719,0.2576,0.2178,-1306795436,98
13,-0.01221,0.05176,1.012,0.3681,-0.206,-0.2098,0.88837,0.019935,0.016695,0.45839,-0.0008087,0.001038,0.01308,43939553,98
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.03174,0.02979,1.037,0.2232,0.2651,0.09918,-36.45,27.6,36.45,0.89412,0.0197,0.002569,-0.4474,-1439293609,108
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.007813,0.9443,-0.2524,0.3109,0.08774,-0.1945,-3,-39.9,15.6,0.073913,0.08587,-0.7866,-0.6069,-1306966497,66
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.9712,-0.1709,0.01907,0.1354,0.1259,0.50951,0.5965,0.47229,0.4019,0.001801,-0.01628,-0.01314,-1306752679,68
6,0.01025,0.98,-0.2051,0.1011,-0.2556,0.1316,0.1736,0.22583,0.74091,0.60821,-0.007202,0.0003357,-0.005173,-1306297730,52
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.009766,0.9517,-0.1646,-0.2079,-0.01717,0.1316,0.50668,0.60672,0.46982,0.39298,-0.01053,-0.03242,0.01314,-1306480585,126
9,0.0004883,0.9785,-0.123,0,0.1049,-0.04959,0.44958,0.51616,0.54555,0.48357,-0.008163,-0.0132,0.005051,-1307068851,70
10,-0.01611,0.9741,-0.2173,-0.06485,0.06294,0.03052,0.59996,0.74727,0.22726,0.17314,-0.002182,-0.001236,0.002853,-1306910841,68
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
